disease,description,precautions,medications
Migraine,"An intense, throbbing headache, often on one side of the head, accompanied by symptoms like nausea, vomiting, and extreme sensitivity to light and sound. It's a neurological condition.","Keep a headache diary to identify and avoid triggers (e.g., certain foods, stress, lack of sleep).; Maintain a regular sleep and meal schedule.; Practice stress-management techniques.","Treatment includes over-the-counter pain relievers, prescription drugs like triptans, and preventative medications for frequent sufferers, as advised by a doctor."
Cervical spondylosis,"An age-related condition involving wear and tear of the spinal disks in the neck. It can cause neck pain, stiffness, and in some cases, pressure on nerve roots or the spinal cord.","Maintain good posture, especially when sitting for long periods.; Perform regular, gentle neck stretching and strengthening exercises.; Use a supportive pillow that keeps the neck aligned during sleep.","Treatment often involves physical therapy, pain relievers (like NSAIDs), or muscle relaxants. In severe cases, steroid injections or surgery may be considered."
Paralysis (brain hemorrhage),"The loss of muscle function in a part of the body, often caused by a stroke resulting from a brain hemorrhage (bleeding in the brain). This is a medical emergency.","Manage high blood pressure.; Don't smoke and limit alcohol.; Control diabetes and maintain a healthy weight.","Immediate emergency medical treatment is critical to stop the bleeding. Long-term care involves extensive physical, occupational, and speech therapy to regain function."
Jaundice,"A condition where the skin, whites of the eyes, and mucous membranes turn yellow due to a high level of bilirubin, a yellow-orange bile pigment. It often indicates an underlying problem with the liver or bile ducts.","Avoid alcohol to reduce strain on the liver.; Stay well-hydrated.; Eat a healthy, balanced diet.","Treatment is directed at the underlying cause, not the jaundice itself. This must be diagnosed and managed by a healthcare professional."
Malaria,"A serious, life-threatening disease caused by a parasite transmitted through the bite of an infected Anopheles mosquito. It causes high fevers, shaking chills, and flu-like illness.","Use mosquito repellent and wear protective clothing in endemic areas.; Sleep under insecticide-treated mosquito nets.; Take anti-malarial medication as prescribed when traveling to high-risk zones.","Treatment involves prescription antimalarial drugs like Chloroquine or Artemisinin-based combination therapies (ACTs), depending on the parasite type and resistance."
Chicken pox,"A highly contagious viral infection caused by the varicella-zoster virus, resulting in an itchy, blister-like rash. It is most common in children.","Get the chickenpox vaccine (varicella vaccine).; Avoid contact with infected individuals.; Practice good hygiene.","Treatment is primarily symptomatic: oatmeal baths and calamine lotion for itching, and acetaminophen for fever. Antiviral drugs may be prescribed for high-risk individuals."
Dengue,"A mosquito-borne viral infection found in tropical and sub-tropical climates. It can cause a severe flu-like illness and sometimes progress to a potentially lethal complication called severe dengue.","Prevent mosquito bites by using repellent, wearing protective clothing, and removing stagnant water sources around the home where mosquitoes breed.","There is no specific medication. Treatment involves managing symptoms with rest, hydration, and pain relievers like acetaminophen. Aspirin and ibuprofen should be avoided. Severe cases require hospitalization."
Typhoid,"A bacterial infection caused by Salmonella Typhi, usually spread through contaminated food and water. It causes high fever, weakness, stomach pain, and a rash.","Get vaccinated against typhoid, especially when traveling to endemic areas.; Drink only bottled or boiled water.; Avoid raw foods and eat food that is thoroughly cooked and still hot.","Treatment requires a course of antibiotics, such as Ciprofloxacin or Azithromycin, prescribed by a doctor. Hydration is also important."
hepatitis A,"A highly contagious liver infection caused by the Hepatitis A virus (HAV). It is typically spread through contaminated food or water or from close contact with an infected person.","Get the Hepatitis A vaccine.; Practice good hand hygiene, especially after using the bathroom and before preparing food.; Avoid consuming raw shellfish from contaminated waters.","There is no specific treatment. The body's immune system clears the virus on its own. Rest, good nutrition, and hydration are recommended."
Hepatitis B,"A serious liver infection caused by the Hepatitis B virus (HBV) that is spread through contact with infected blood and certain body fluids. It can become a chronic, lifelong illness.","Get the Hepatitis B vaccine.; Practice safe sex.; Do not share needles, razors, or toothbrushes.","Acute infection is managed with supportive care. Chronic HBV is treated with antiviral medications like Entecavir or Tenofovir to suppress the virus."
Hepatitis C,"A viral infection that causes liver inflammation, sometimes leading to serious liver damage. The Hepatitis C virus (HCV) spreads through contaminated blood.","Avoid sharing needles or any equipment for drug use.; Be cautious with tattoos and piercings; ensure sterile equipment is used.; Practice safe sex.","Treatment has advanced significantly with direct-acting antiviral (DAA) tablets, which can cure the infection in most people with a course of 8-12 weeks."
Hepatitis D,"A serious liver disease caused by the Hepatitis D virus (HDV). It is uncommon and only occurs in people who are already infected with the Hepatitis B virus.","The primary prevention is to get the Hepatitis B vaccine, as HDV cannot infect a person on its own.; Follow prevention guidelines for Hepatitis B.","There is no specific cure. Treatment with pegylated interferon-alpha may be recommended by a specialist, but success rates vary."
Hepatitis E,"A liver disease caused by the Hepatitis E virus (HEV), mainly transmitted through drinking water contaminated with fecal matter. It is usually an acute, self-limiting infection.","Ensure drinking water is safe (boiled or purified).; Avoid uncooked pork or deer meat.; Practice good sanitation and hygiene.","There is generally no specific treatment for acute Hepatitis E. The infection usually resolves on its own. Rest and hydration are key."
Alcoholic hepatitis,"Severe liver inflammation caused by excessive alcohol consumption over a long period. It is a serious condition that can lead to liver failure.","The most important step is to completely stop drinking alcohol.; Follow a nutritious diet plan provided by a healthcare professional.; Avoid all substances toxic to the liver.","Treatment involves complete alcohol cessation, nutritional support, and sometimes corticosteroids to reduce inflammation. Liver transplant may be necessary in severe cases."
Tuberculosis,"A potentially serious infectious disease that mainly affects the lungs, caused by the bacterium Mycobacterium tuberculosis. It spreads from person to person through tiny droplets released into the air.","Get the BCG vaccine (in countries where it is recommended).; Avoid prolonged close contact with people who have active TB.; Ensure good ventilation in living spaces.","Treatment requires a long course of multiple antibiotics, often for six to nine months. It is crucial to complete the entire course of medication as prescribed."
Common Cold,"A mild viral infection of the nose and throat (upper respiratory tract). It's typically harmless, although it might not feel that way. Many types of viruses can cause a common cold.","Wash hands frequently with soap and water.; Avoid touching your eyes, nose, and mouth with unwashed hands.; Stay away from people who are sick.","There is no cure. Treatment focuses on relieving symptoms with rest, hydration, over-the-counter pain relievers, and decongestants."
Pneumonia,"An infection that inflames the air sacs (alveoli) in one or both lungs. The air sacs may fill with fluid or pus, causing cough with phlegm, fever, and difficulty breathing.","Get vaccinated (pneumococcal and flu vaccines).; Practice good hygiene, including hand washing.; Do not smoke, as it damages your lungs' natural defenses.","Treatment depends on the cause. Bacterial pneumonia is treated with antibiotics. Viral pneumonia may be treated with antiviral drugs. Hospitalization may be required for severe cases."
Dimorphic hemmorhoids(piles),"Hemorrhoids are swollen veins in the lower rectum and anus. Dimorphic refers to having both internal and external hemorrhoids. They can cause pain, itching, and rectal bleeding.","Eat a high-fiber diet and drink plenty of fluids to prevent constipation.; Avoid straining during bowel movements.; Exercise regularly to promote regular bowel function.","Over-the-counter creams and suppositories can relieve symptoms. Lifestyle changes are crucial. For persistent cases, medical procedures like rubber band ligation may be needed."
Heart attack,"A medical emergency where the blood flow to the heart muscle is abruptly blocked, usually by a blood clot. Without blood, heart tissue loses oxygen and dies.","Manage risk factors like high blood pressure, high cholesterol, and diabetes.; Eat a heart-healthy diet and maintain a healthy weight.; Do not smoke and get regular exercise.","Immediate emergency treatment is vital and may include aspirin, nitroglycerin, and clot-busting drugs. Long-term treatment includes medication, lifestyle changes, and cardiac rehabilitation."
Varicose veins,"Gnarled, enlarged veins, most commonly appearing in the legs and feet. They occur when faulty valves in the veins allow blood to flow in the wrong direction or to pool.","Exercise regularly to improve circulation.; Avoid standing or sitting for prolonged periods.; Elevate your legs when resting.","Treatment can include compression stockings, lifestyle changes, or medical procedures such as sclerotherapy, laser treatment, or vein stripping for more severe cases."
Hypothyroidism,"A condition where the thyroid gland doesn't produce enough crucial hormones. It can cause fatigue, weight gain, cold intolerance, and depression.","There are no specific preventative measures, but be aware of symptoms if you have a family history or other autoimmune diseases.","Standard treatment is lifelong daily use of the synthetic thyroid hormone levothyroxine, prescribed and monitored by a doctor."
Hyperthyroidism,"A condition where the thyroid gland produces too much of the hormone thyroxine. This can accelerate the body's metabolism significantly, causing unintentional weight loss, a rapid or irregular heartbeat, and anxiety.","Management often involves dietary considerations, like adequate calcium and vitamin D, but the underlying condition needs medical treatment.","Treatment may include anti-thyroid medications, radioactive iodine therapy to slow down the thyroid, or surgery to remove part of the thyroid gland."
Hypoglycemia,"A condition characterized by abnormally low blood sugar (glucose) levels, the body's main energy source. It is most common in people with diabetes who are on certain medications.","For diabetics, regular blood sugar monitoring is key.; Eat regular, balanced meals and snacks.; Be cautious with alcohol consumption.","Immediate treatment involves consuming fast-acting carbohydrates (like juice or glucose tablets). For severe cases, a glucagon injection may be needed. The underlying cause must be addressed by a doctor."
Osteoarthristis,"The most common form of arthritis, it is a degenerative joint disease that occurs when the protective cartilage that cushions the ends of the bones wears down over time.","Maintain a healthy weight to reduce stress on joints.; Stay active with low-impact exercises like swimming or cycling.; Avoid injuries to your joints.","Treatment focuses on managing symptoms and includes physical therapy, pain relievers, and lifestyle modifications. In advanced cases, joint replacement surgery may be an option."
Arthritis,"A general term for conditions that cause inflammation of the joints. There are many types, including osteoarthritis and rheumatoid arthritis (an autoimmune disease). Symptoms include joint pain and stiffness.","Engage in regular low-impact exercise to maintain joint flexibility.; Maintain a healthy weight.; Eat a balanced, anti-inflammatory diet.","Treatment varies by type but may include physical therapy, medications (like NSAIDs or DMARDs for rheumatoid arthritis), and lifestyle changes."
(vertigo) Paroymsal Positional Vertigo,"Benign Paroxysmal Positional Vertigo (BPPV) is one of the most common causes of vertigo — a sudden sensation that you're spinning. It's caused by small calcium carbonate crystals dislodged in the inner ear.","Be cautious when changing positions of your head.; Use good lighting if you get up at night.; Avoid positions that have triggered vertigo in the past.","Often treated with a series of specific head movements called the Canalith Repositioning Procedure (e.g., the Epley maneuver), performed by a doctor or physical therapist."
Acne,"A skin condition that occurs when hair follicles become plugged with oil and dead skin cells. It causes whiteheads, blackheads or pimples, and is most common among teenagers.","Keep your face clean, washing it gently twice a day.; Avoid harsh scrubbing and oily cosmetics.; Don't squeeze or pick at pimples.","Treatment includes over-the-counter creams with benzoyl peroxide or salicylic acid. A dermatologist may prescribe stronger medications like retinoids or antibiotics."
Urinary tract infection,"An infection in any part of the urinary system, but most commonly in the bladder and urethra. It is far more common in women and can cause a persistent urge to urinate and a burning sensation.","Drink plenty of fluids, especially water, to dilute urine.; Wipe from front to back after using the toilet.; Urinate soon after intercourse.","Treatment requires a course of antibiotics prescribed by a doctor to kill the bacteria causing the infection."
Psoriasis,"A chronic autoimmune skin disease that speeds up the growth cycle of skin cells, causing them to build up rapidly on the surface. This results in scales and red patches that are itchy and sometimes painful.","Moisturize skin daily.; Identify and avoid triggers, which can include stress, infections, and certain medications.; Get a moderate amount of natural sunlight.","Treatment aims to stop skin cells from growing so quickly and includes topical creams, light therapy (phototherapy), and oral or injected medications for severe cases."
Impetigo,"A highly contagious bacterial skin infection that causes red sores that can break open, ooze fluid, and develop a yellow-brown crust. It is one of the most common skin infections in young children.","Practice good hygiene, including regular hand washing.; Keep cuts and scrapes clean and covered.; Avoid sharing personal items with someone who has impetigo.","Treatment requires a course of antibiotics, either as a topical ointment for mild cases or as oral pills for more widespread infections."
